#constelname,HIP
JUMP,JUMP
Hercules,87933
Hercules,88794
Hercules,88886
Hercules,90139
Hercules,92043
Hercules,92161
JUMP,JUMP
Hydrus,2021
Hydrus,17678
Hydrus,12394
Hydrus,11001
Hydrus,9236
JUMP,JUMP
Indus,101772
Indus,105319
Indus,108431
JUMP,JUMP
Indus,105319
Indus,103227
JUMP,JUMP
Lacerta,111022
Lacerta,111169
Lacerta,110538
Lacerta,110609
Lacerta,111022
Lacerta,111944
Lacerta,111104
Lacerta,110351
Lacerta,111022
JUMP,JUMP
Lacerta,111104
Lacerta,109937
JUMP,JUMP
Libra,73714
Libra,72622
Libra,74785
Libra,76333
Libra,76470
Libra,76600
JUMP,JUMP
Libra,76333
Libra,72622
JUMP,JUMP
Lupus,71860
Lupus,74395
Lupus,75264
Lupus,76297
Lupus,78384
Lupus,78918
Lupus,77634
Lupus,75177
Lupus,75141
Lupus,73273
Lupus,71860
Lupus,69996
JUMP,JUMP
Lyra,91262
Lyra,91971
Lyra,92791
Lyra,93194
Lyra,92420
Lyra,91971
JUMP,JUMP
Mensa,29271
Mensa,25918
Mensa,22871
Mensa,23467
JUMP,JUMP
Microscopium,102831
Microscopium,103738
Microscopium,105140
Microscopium,105382
Microscopium,102693
Microscopium,102831
JUMP,JUMP
Musca,57363
Musca,59929
Musca,61585
Musca,62322
Musca,63613
Musca,61199
Musca,61585
JUMP,JUMP
Norma,78914
Norma,78639
Norma,80000
Norma,80582
Norma,78914
JUMP,JUMP
Octans,112405
Octans,70638
Octans,107089
Octans,112405
JUMP,JUMP
Ophiucus,86032
Ophiucus,83000
Ophiucus,81377
Ophiucus,84012
Ophiucus,86742
Ophiucus,86032
JUMP,JUMP
Ophiucus,83000
Ophiucus,80883
Ophiucus,79593
Ophiucus,79882
JUMP,JUMP
Ophiucus,86742
Ophiucus,87108
Ophiucus,88290
Ophiucus,88601
Ophiucus,88192
JUMP,JUMP
Ophiucus,81377
Ophiucus,80894
Ophiucus,80569
Ophiucus,80343
Ophiucus,80975
JUMP,JUMP
Ophiucus,84012
Ophiucus,84893
Ophiucus,84970
Ophiucus,85340
JUMP,JUMP
Pavo,100751
Pavo,99240
Pavo,102395
Pavo,105858
Pavo,100751
JUMP,JUMP
Pavo,99240
Pavo,93015
Pavo,91792
Pavo,98495
Pavo,99240
JUMP,JUMP
Pavo,93015
Pavo,92609
Pavo,90797
Pavo,90098
Pavo,88866
Pavo,90797
JUMP,JUMP
Pavo,88866
Pavo,86929
JUMP,JUMP
Pisces Australis,109422
Pisces Australis,111188
Pisces Australis,112948
Pisces Australis,113246
Pisces Australis,113368
Pisces Australis,111954
Pisces Australis,109422
Pisces Australis,107608
Pisces Australis,107380
Pisces Australis,109285
Pisces Australis,109422
JUMP,JUMP
Reticulum,19780
Reticulum,17440
Reticulum,18597
Reticulum,19921
Reticulum,19780
JUMP,JUMP
Scorpius,85696
Scorpius,85927
Scorpius,86670
Scorpius,87073
Scorpius,86228
Scorpius,84143
Scorpius,82729
Scorpius,82514
Scorpius,82396
Scorpius,81266
Scorpius,80763
Scorpius,80112
Scorpius,79374
Scorpius,78820
Scorpius,78401
JUMP,JUMP
Scorpius,80112
Scorpius,78104
Scorpius,78265
JUMP,JUMP
Scutum,92175
Scutum,91117
Scutum,90595
JUMP,JUMP
Serpens Cauda,77233
Serpens Cauda,78072
Serpens Cauda,77450
Serpens Cauda,77233
Serpens Cauda,76276
Serpens Cauda,77070
Serpens Cauda,77622
Serpens Cauda,77516
Serpens Cauda,79882
Serpens Cauda,80628
Serpens Cauda,84880
Serpens Cauda,86263
Serpens Cauda,86565
Serpens Cauda,88048
Serpens Cauda,89962
Serpens Cauda,88601
Serpens Cauda,88192
Serpens Cauda,88771
JUMP,JUMP
Sagitta,98337
Sagitta,97365
Sagitta,96757
JUMP,JUMP
Sagitta,97365
Sagitta,96837
JUMP,JUMP
Sagittarius,93506
Sagittarius,93864
Sagittarius,92855
Sagittarius,92041
Sagittarius,93506
JUMP,JUMP
Sagittarius,92041
Sagittarius,90496
Sagittarius,89931
Sagittarius,88635
Sagittarius,90185
Sagittarius,89931
JUMP,JUMP
Sagittarius,90185
Sagittarius,93506
Sagittarius,95347
Sagittarius,95241
JUMP,JUMP
Apus,72370
Apus,80047
Apus,81065
Apus,81852
Apus,80047
JUMP,JUMP
Aquila,97278
Aquila,95501
Aquila,93805
Aquila,96468
Aquila,97804
Aquila,99473
Aquila,98036
Aquila,97649
Aquila,97278
Aquila,93747
Aquila,93244
JUMP,JUMP
Aquarius,109074
Aquarius,110395
Aquarius,111497
Aquarius,110672
Aquarius,109074
Aquarius,106278
Aquarius,104459
Aquarius,103045
Aquarius,102618
JUMP,JUMP
Aquarius,106278
Aquarius,109139
JUMP,JUMP
Aquarius,109074
Aquarius,108874
Aquarius,110003
Aquarius,112961
Aquarius,114724
Aquarius,114855
Aquarius,113136
Aquarius,112716
Aquarius,112961
JUMP,JUMP
