HIP37740	3.57	116.11195237	+24.39812929	
HIP35350	3.58	109.52336162	+16.54047526	
HIP100064	3.58	304.51341030	-12.54485877	
HIP57757	3.59	177.67202553	+01.76537705	
HIP60260	3.59	185.34088036	-60.40136988	
HIP7607	3.59	024.49792651	+48.62848641	
HIP27072	3.59	086.11656241	-22.44748663	
HIP24674	3.59	079.40166225	-06.84438616	
HIP6537	3.60	021.00604671	-08.18275372	
HIP85727	3.60	262.77490395	-60.68360667	
HIP46651	3.60	142.67547063	-40.46688763	
HIP42536	3.60	130.07337168	-52.92197259	
HIP33018	3.60	103.19725030	+33.96136985	
HIP76470	3.60	234.25607748	-28.13507099	
HIP49841	3.61	152.64748785	-12.35383921	
HIP63613	3.61	195.56573968	-71.54879865	
HIP86929	3.61	266.43334347	-64.72373450	
HIP15900	3.61	051.20349011	+09.02906504	
HIP13209	3.61	042.49578911	+27.26079044	
HIP7097	3.62	022.87080776	+15.34583101	
HIP82729	3.62	253.64627156	-42.36075916	
HIP17847	3.62	057.29054669	+24.05352412	
HIP37819	3.62	116.31376631	-37.96859848	
HIP113726	3.62	345.48019377	+42.32597866	
HIP57363	3.63	176.40236386	-66.72884344	
HIP101769	3.64	309.38695734	+14.59520289	
HIP46733	3.65	142.88154025	+63.06179545	
HIP110960	3.65	337.20750231	-00.02006304	
HIP20205	3.65	064.94805793	+15.62770031	
HIP88714	3.65	271.65782832	-50.09145462	
HIP77233	3.65	236.54672877	+15.42192602	
HIP75695	3.66	231.95771631	+29.10549164	
HIP76600	3.66	234.66410153	-29.77768935	
HIP68756	3.67	211.09760837	+64.37580873	
HIP103227	3.67	313.70241509	-58.45409470	
HIP22549	3.68	072.80152507	+05.60510146	
HIP97365	3.68	296.84693842	+18.53425912	
HIP42828	3.68	130.89811451	-33.18641133	
HIP114341	3.68	347.36150879	-21.17248555	
HIP9007	3.69	028.98680207	-51.60958673	
HIP57399	3.69	176.51305887	+47.77933701	
HIP2920	3.69	009.24277921	+53.89693161	
HIP23453	3.69	075.61950025	+41.07588953	
HIP106985	3.69	325.02225935	-16.66225343	
HIP47854	3.69	146.31178147	-62.50792328	
HIP114971	3.70	349.28955677	+03.28224524	
HIP87933	3.70	269.44096106	+29.24792527	
HIP15474	3.70	049.87904033	-21.75794210	
HIP98036	3.71	298.82819233	+06.40793334	
HIP22797	3.71	073.56289850	+02.44067149	
HIP38414	3.71	118.05435622	-40.57579889	
HIP77622	3.71	237.70371344	+04.47757980	
HIP88771	3.71	271.83758610	+09.56365345	
HIP28103	3.71	089.10132627	-14.16803805	
HIP28358	3.72	089.88145972	+54.28498197	
HIP16537	3.72	053.23509009	-09.45830584	
HIP17499	3.72	056.21884811	+24.11344840	
HIP104060	3.72	316.23273251	+43.92785122	
HIP107089	3.73	325.36863801	-77.38946215	Proxima
HIP112961	3.73	343.15360192	-07.57967878	
HIP72220	3.73	221.56246594	+01.89293830	
HIP87585	3.73	268.38178961	+56.87245216	
HIP16083	3.73	051.79217049	+09.73277240	
HIP8645	3.74	027.86504416	-10.33494526	
HIP80170	3.74	245.48018203	+19.15302185	
HIP104887	3.74	318.69727757	+38.04432043	
HIP87108	3.75	266.97322515	+02.70745875	
HIP44511	3.75	136.03883562	-47.09771376	
HIP95853	3.76	292.42641389	+51.72946747	
HIP30867	3.76	097.20447548	-07.03305042	
HIP111169	3.76	337.82239898	+50.28244976	
HIP93683	3.76	286.17055765	-21.74135451	
HIP27654	3.76	087.82980343	-20.87751376	
HIP26069	3.76	083.40631813	-62.48985585	
HIP26549	3.77	084.68652211	-02.60006791	
HIP42570	3.77	130.15656369	-46.64875492	
HIP20455	3.77	065.73344722	+17.54258430	
HIP101958	3.77	309.90939395	+15.91205270	
HIP105881	3.77	321.66678212	-22.41137838	
HIP82363	3.77	252.44629764	-59.04131648	
HIP109176	3.77	331.75197729	+25.34504610	
HIP13268	3.77	042.67413655	+55.89552955	
HIP17529	3.77	056.29851422	+42.57854437	
HIP41312	3.77	126.43435936	-66.13652042	
HIP71795	3.78	220.28716819	+13.72833113	
HIP102618	3.78	311.91888574	-09.49568988	
HIP48319	3.78	147.74871542	+59.03910437	
HIP36046	3.78	111.43198371	+27.79828561	
HIP34481	3.78	107.18676883	-70.49919435	
HIP53253	3.78	163.37319260	-58.85326474	
HIP53229	3.79	163.32766612	+34.21556641	
HIP14668	3.79	047.37345463	+44.85788896	
HIP99675	3.80	303.40792782	+46.74132417	
HIP94779	3.80	289.27545794	+53.36816064	
HIP14879	3.80	048.01783332	-28.98910623	
HIP37229	3.80	114.70783872	-26.80389240	
HIP76276	3.80	233.70079260	+10.53885916	
HIP116584	3.81	354.39044870	+46.45917621	
HIP51232	3.81	156.96977108	-58.73940856	
HIP76952	3.81	235.68599269	+26.29551419	
HIP21393	3.81	068.88779874	-30.56231049	
HIP9487	3.82	030.51166929	+02.76376048	
HIP80883	3.82	247.72850509	+01.98410056	
HIP45688	3.82	139.71111394	+36.80289763	
HIP86414	3.82	264.86621847	+46.00632216	
HIP56211	3.82	172.85120199	+69.33112161	
HIP51069	3.83	156.52293768	-16.83609584	
HIP68245	3.83	209.56785278	-42.10070526	
